population,n_responder,n_non_responder,mean_responder,mean_non_responder,median_responder,median_non_responder,std_responder,std_non_responder,mean_difference,rank_biserial,u_statistic,p_value,p_adjusted,significant,direction,unit
cd4_t_cell,331,325,30.537808328298087,29.902261796923078,30.209816999999997,29.82252033333333,2.940971447110916,2.7700897413284915,0.6355465313750095,0.11280501975366031,59855.0,0.012422106237428315,0.06211053118714158,False,higher in responders,subject
nk_cell,331,325,14.840944276938568,15.07316621128205,14.739688333333334,14.959829666666666,2.2746947959401873,1.9913912400119766,-0.2322219343434817,-0.0689100627469208,50081.0,0.12674471572310064,0.3168617893077516,False,higher in non-responders,subject
b_cell,331,325,9.7975526163142,9.996319726153846,9.671393333333333,9.844568333333333,1.8238731162145265,1.8187327511920333,-0.19876710983964685,-0.042547060190564756,51499.0,0.34579575361837356,0.43224469202296695,False,higher in non-responders,subject
monocyte,331,325,19.94176317925478,20.084327955897436,19.794516,20.276803,2.6543133185366243,2.1829927336990695,-0.14256477664265432,-0.05035556588426682,51079.0,0.26449173372700063,0.43224469202296695,False,higher in non-responders,subject
cd8_t_cell,331,325,24.88193160120846,24.943924363076928,24.896948,25.009725666666668,2.876386064157545,2.4570615989845446,-0.06199276186846703,-0.02224494538693933,52591.0,0.6221436939857599,0.6221436939857599,False,higher in non-responders,subject
